rct_id,Arm,to keep,Iteration,Pubmed Link,Downloaded Paper Link,Total Population,arm_n,intervention,existing?,subgroup (Y/N),Subgroup characteristics,First-in-Class,Next-Generation,EGFR_TKI,Platinum_Chemotherapy,Anti_VEGF,PD1_PDL1_Inhibitor,Antimetabolite,Taxane,Antibody,Placebo_Supportive-Care,Chemotherapy,Targeted_Therapy,Immunotherapy,Anti-angiogenic_Other,RCT_with_control_inter,gender_male_percent,age_median,age_mean,age_clean,no_smoker_percent,ecog_1,brain_metastase_yes,disease_stage_recurrent,disease_stage_III,disease_stage_IV,EGFR_wild,EGFR_positive_mutation,PFS_median_months,PFS_median_CI,CI,need_to_be_dropped,NOTES,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,100,is_target_trial
NCT04716933,Intervention,,2025-05-29,,,201.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Results NA,Control,,2025-05-29,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT02574078,Intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Phase 1/2 study with 13 patients,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT04222972,Intervention,,2025-05-29,,,223.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
RET mutation targeted therapy,Control,,2025-05-29,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT04676412,Intervention,,2025-05-29,,,27.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Same overall study (LEAP-007) as NCT03829332,Control,,2025-05-29,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
NCT05005273,Intervention,,2025-05-29,,,1.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Results NA,Control,,2025-05-29,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
